username,gender,age,weight,user_id,user_pw,email,role,created_at,updated_at
HCWSdlIP,남성,2007,68.04,35,Tave1234**,pl222rv0@naver.com,USER,NOW(),NOW()
m7VSyVHb,남성,2005,68.04,36,Tave1234**,5nv4xzy7@naver.com,USER,NOW(),NOW()
hAxP3sWZ,남성,2006,68.04,37,Tave1234**,89k4sg1b@naver.com,USER,NOW(),NOW()
WN06mMWP,남성,2004,77.11,38,Tave1234**,hjcopkli@naver.com,USER,NOW(),NOW()
xsLQfE1C,남성,2004,68.04,39,Tave1234**,vuk2t2ua@naver.com,USER,NOW(),NOW()
iiQFn5z1,여성,2004,79.38,40,Tave1234**,y5dbhwdy@naver.com,USER,NOW(),NOW()
N1qUHSI0,여성,2007,63.50,41,Tave1234**,gb1ywd0f@naver.com,USER,NOW(),NOW()
OM9MsnVX,남성,2006,54.43,42,Tave1234**,ckm32w9u@naver.com,USER,NOW(),NOW()
lBcgUFkd,남성,2006,61.23,43,Tave1234**,xp71io3r@naver.com,USER,NOW(),NOW()
tXxubLWO,남성,2005,45.36,44,Tave1234**,r34i5rk6@naver.com,USER,NOW(),NOW()
YOmqMWHN,남성,2004,77.11,45,Tave1234**,p2rdynby@naver.com,USER,NOW(),NOW()
9b62sKfF,남성,2006,51.26,46,Tave1234**,fwnq58yl@naver.com,USER,NOW(),NOW()
GNEhLOGg,여성,2007,76.20,47,Tave1234**,cqbz13sq@naver.com,USER,NOW(),NOW()
hhpY0PdU,여성,2007,65.77,48,Tave1234**,nfnxarqm@naver.com,USER,NOW(),NOW()
HSRtxNZl,여성,2006,70.31,49,Tave1234**,yds2ahwb@naver.com,USER,NOW(),NOW()
FGWJ3Mcc,여성,2005,68.04,50,Tave1234**,6hrzoiem@naver.com,USER,NOW(),NOW()
H4mdG3va,여성,2005,76.66,51,Tave1234**,upeyzd2i@naver.com,USER,NOW(),NOW()
D5Wn88ba,여성,2006,83.91,52,Tave1234**,p4cdslsj@naver.com,USER,NOW(),NOW()
SeCDyOxr,여성,2006,90.72,53,Tave1234**,10cb7rrq@naver.com,USER,NOW(),NOW()
jPodXoUu,여성,2004,120.20,54,Tave1234**,i33a41li@naver.com,USER,NOW(),NOW()
qLtJbOlG,여성,2006,74.84,55,Tave1234**,jdwcve6x@naver.com,USER,NOW(),NOW()
6DQCkAIX,남성,2007,87.09,56,Tave1234**,axg81c7w@naver.com,USER,NOW(),NOW()
leF2WupH,여성,2004,79.38,57,Tave1234**,i23gheqd@naver.com,USER,NOW(),NOW()
Un42nftz,남성,2006,63.50,58,Tave1234**,3l8l1fdj@naver.com,USER,NOW(),NOW()
3KIzdTSV,남성,2005,70.31,59,Tave1234**,4vp5lx3a@naver.com,USER,NOW(),NOW()
dRmV6UkS,남성,2004,70.31,60,Tave1234**,yf1ub53t@naver.com,USER,NOW(),NOW()
fA24XYpT,남성,2007,61.23,61,Tave1234**,3qpegtts@naver.com,USER,NOW(),NOW()
OinVnAXm,남성,2004,53.52,62,Tave1234**,do7y1jfi@naver.com,USER,NOW(),NOW()
6yZ0xnpK,여성,2004,95.25,63,Tave1234**,fjkf1uoh@naver.com,USER,NOW(),NOW()
hfE4vWri,남성,2005,81.65,64,Tave1234**,txq41d30@naver.com,USER,NOW(),NOW()
v8mpX9NI,남성,2006,63.50,65,Tave1234**,9zm7g1df@naver.com,USER,NOW(),NOW()
KI85yzin,남성,2006,50.80,66,Tave1234**,q4ue1hyf@naver.com,USER,NOW(),NOW()
B8gLM4fp,남성,2007,56.70,67,Tave1234**,9zehrsim@naver.com,USER,NOW(),NOW()
9cEAv2d9,남성,2006,78.16,68,Tave1234**,g8ia6c3n@naver.com,USER,NOW(),NOW()
A0RfVnPc,남성,2007,65.77,69,Tave1234**,sv70rvie@naver.com,USER,NOW(),NOW()
hfb7y2bm,남성,2005,58.97,70,Tave1234**,zz7dhlk9@naver.com,USER,NOW(),NOW()
kzvSw6yT,남성,2005,63.50,71,Tave1234**,qvnhvhu1@naver.com,USER,NOW(),NOW()
hha3bxBT,남성,2005,63.50,72,Tave1234**,carzrgw7@naver.com,USER,NOW(),NOW()
m40EsTji,여성,2007,63.50,73,Tave1234**,y1qoqe1g@naver.com,USER,NOW(),NOW()
tHkPROGj,여성,2006,90.72,74,Tave1234**,bqkt5qng@naver.com,USER,NOW(),NOW()
c9Q5jbDa,여성,2005,52.17,75,Tave1234**,hpd0kj9h@naver.com,USER,NOW(),NOW()
kAugMAdc,남성,2007,54.43,76,Tave1234**,uxr2chzi@naver.com,USER,NOW(),NOW()
pNBI8KXD,남성,2004,68.04,77,Tave1234**,scmkxtpw@naver.com,USER,NOW(),NOW()
YtVsEh2u,여성,2004,90.72,78,Tave1234**,rj7q9gkk@naver.com,USER,NOW(),NOW()
ZCRoBYDr,남성,2006,61.23,79,Tave1234**,c6c1pgr9@naver.com,USER,NOW(),NOW()
lqDHYrad,여성,2007,65.77,80,Tave1234**,9dm8sniq@naver.com,USER,NOW(),NOW()
4DIk4QXh,남성,2007,58.97,81,Tave1234**,vnedp54d@naver.com,USER,NOW(),NOW()
73CST3xD,남성,2004,86.18,82,Tave1234**,9s2487p0@naver.com,USER,NOW(),NOW()
U08NTYuU,남성,2005,77.11,83,Tave1234**,uz9ntnpk@naver.com,USER,NOW(),NOW()
IjX6svsn,남성,2007,57.61,84,Tave1234**,a90vq4ll@naver.com,USER,NOW(),NOW()
bO2YKNSl,남성,2006,75.75,85,Tave1234**,cnh3m3pg@naver.com,USER,NOW(),NOW()
xAmEw6Rq,남성,2007,63.50,86,Tave1234**,asn12xbe@naver.com,USER,NOW(),NOW()
KMR7rOD7,남성,2007,86.18,87,Tave1234**,4zymh2a6@naver.com,USER,NOW(),NOW()
zV6ZbzWn,여성,2006,70.31,88,Tave1234**,87uifkiy@naver.com,USER,NOW(),NOW()
w1pQfGul,여성,2005,79.38,89,Tave1234**,jfmn2jnx@naver.com,USER,NOW(),NOW()
M2hDCmHG,남성,2005,58.51,90,Tave1234**,ebc8ka70@naver.com,USER,NOW(),NOW()
PPIwdEJC,여성,2007,117.93,91,Tave1234**,r5wvkjv4@naver.com,USER,NOW(),NOW()
zSDyHuaR,남성,2005,61.23,92,Tave1234**,u1nsz822@naver.com,USER,NOW(),NOW()
vt08zvbA,여성,2005,86.18,93,Tave1234**,l2sv9xhd@naver.com,USER,NOW(),NOW()
lKajjp6m,여성,2007,74.84,94,Tave1234**,zo3bmn7g@naver.com,USER,NOW(),NOW()
tqIWP3Fu,여성,2004,79.38,95,Tave1234**,z3q2804s@naver.com,USER,NOW(),NOW()
yqfUIrZs,여성,2005,83.46,96,Tave1234**,axbpb4v9@naver.com,USER,NOW(),NOW()
OaUE99yb,여성,2007,95.25,97,Tave1234**,mo0xiao9@naver.com,USER,NOW(),NOW()
ZHPmv9de,남성,2006,70.31,98,Tave1234**,6xmk1rfg@naver.com,USER,NOW(),NOW()
eS8yxUFB,여성,2004,83.91,99,Tave1234**,xfh25rr2@naver.com,USER,NOW(),NOW()
AgFW5uCr,남성,2007,74.84,100,Tave1234**,rhbeqjih@naver.com,USER,NOW(),NOW()
LiOL5H3a,남성,2007,56.70,101,Tave1234**,p5349vg3@naver.com,USER,NOW(),NOW()
tKEUoMYF,남성,2007,72.57,102,Tave1234**,e4smhb8p@naver.com,USER,NOW(),NOW()
4HY70ZcD,남성,2006,61.23,103,Tave1234**,r73gw64x@naver.com,USER,NOW(),NOW()
wbdi4xgT,남성,2005,58.97,104,Tave1234**,hfd2qpzi@naver.com,USER,NOW(),NOW()
3fLJOTkk,남성,2007,104.33,105,Tave1234**,z5zildp6@naver.com,USER,NOW(),NOW()
Ria0Aq3Q,남성,2004,56.70,106,Tave1234**,212n9qd9@naver.com,USER,NOW(),NOW()
67vUHAX0,남성,2007,58.97,107,Tave1234**,jl81m863@naver.com,USER,NOW(),NOW()
5OExSvC4,남성,2006,74.84,108,Tave1234**,jmg9qcc0@naver.com,USER,NOW(),NOW()
AqboHdMu,남성,2006,58.06,109,Tave1234**,pmzi4phr@naver.com,USER,NOW(),NOW()
FdXcorCi,남성,2006,90.72,110,Tave1234**,k9ip4hu6@naver.com,USER,NOW(),NOW()
j7rtfjiq,남성,2004,72.57,111,Tave1234**,mr9dubiq@naver.com,USER,NOW(),NOW()
5MAZKwhF,여성,2005,77.11,112,Tave1234**,535lpxlp@naver.com,USER,NOW(),NOW()
uLYdRGXc,남성,2004,58.51,113,Tave1234**,xgnc5a3i@naver.com,USER,NOW(),NOW()
80YS2G37,남성,2004,77.11,114,Tave1234**,po0bxaha@naver.com,USER,NOW(),NOW()
V8gioOfS,여성,2006,62.60,115,Tave1234**,qz2evilg@naver.com,USER,NOW(),NOW()
FRdgfM9u,여성,2007,68.04,116,Tave1234**,wgode1nl@naver.com,USER,NOW(),NOW()
wvZ8n9hT,남성,2007,77.11,117,Tave1234**,7jvaj339@naver.com,USER,NOW(),NOW()
KfeEP6Ja,남성,2006,51.26,118,Tave1234**,lc0s9ty9@naver.com,USER,NOW(),NOW()
RqlKnf0R,남성,2006,63.50,119,Tave1234**,tle6x6b1@naver.com,USER,NOW(),NOW()
XgyhxgPq,여성,2004,83.91,120,Tave1234**,14h9lmjo@naver.com,USER,NOW(),NOW()
t9zK7dTv,남성,2004,70.76,121,Tave1234**,yuz1xbvq@naver.com,USER,NOW(),NOW()
vAa8udLm,남성,2004,81.65,122,Tave1234**,e172afhd@naver.com,USER,NOW(),NOW()
epR0j41h,남성,2005,54.43,123,Tave1234**,645liv0y@naver.com,USER,NOW(),NOW()
kePsNCvZ,여성,2007,61.23,124,Tave1234**,3vzxnyzt@naver.com,USER,NOW(),NOW()
w3D2GRjk,남성,2005,61.23,125,Tave1234**,hthns39s@naver.com,USER,NOW(),NOW()
X7XNRQXL,여성,1994,60.50,126,Tave1234**,xw2msakg@naver.com,USER,NOW(),NOW()
FuBr9Zee,남성,1992,75.80,127,Tave1234**,0vxoc4ae@naver.com,USER,NOW(),NOW()
88zRNAv5,여성,1995,65.20,128,Tave1234**,9s902f76@naver.com,USER,NOW(),NOW()
ahlZ2CvI,남성,1993,80.40,129,Tave1234**,3an86pj7@naver.com,USER,NOW(),NOW()
7zvKltRP,여성,1991,58.90,130,Tave1234**,l8di73nw@naver.com,USER,NOW(),NOW()
eAAZ4iac,남성,1995,77.10,131,Tave1234**,w3g7zt3k@naver.com,USER,NOW(),NOW()
AQKVcXbL,여성,1992,62.70,132,Tave1234**,7zrp0bbs@naver.com,USER,NOW(),NOW()
wTJ8Vv0r,남성,1994,78.30,133,Tave1234**,emtosbqc@naver.com,USER,NOW(),NOW()
FPGd3W3B,여성,1991,59.80,134,Tave1234**,nnztne91@naver.com,USER,NOW(),NOW()
b4a13AyM,남성,1995,85.00,135,Tave1234**,j3ugjxk2@naver.com,USER,NOW(),NOW()
Rj4Hcvcd,여성,2007,84.82,136,Tave1234**,rxr1gl69@naver.com,USER,NOW(),NOW()
Y6oW8RDK,남성,2008,70.31,137,Tave1234**,8jgm7gqa@naver.com,USER,NOW(),NOW()
LK7keeyS,남성,2007,86.55,138,Tave1234**,qxm0sejt@naver.com,USER,NOW(),NOW()
dnxspjJM,남성,2009,96.85,139,Tave1234**,ndc2478k@naver.com,USER,NOW(),NOW()
tZpB8lDa,여성,2008,86.18,140,Tave1234**,vklt4jvb@naver.com,USER,NOW(),NOW()
gF6o574d,여성,1984,65.50,141,Tave1234**,dcpoy1yy@naver.com,USER,NOW(),NOW()
u8GNvaGF,남성,1983,77.20,142,Tave1234**,drh9di4a@naver.com,USER,NOW(),NOW()
uOx1SeCp,여성,1982,68.80,143,Tave1234**,j78ndcpj@naver.com,USER,NOW(),NOW()
8i1zzEj5,남성,1981,82.00,144,Tave1234**,qctiw6if@naver.com,USER,NOW(),NOW()
TyK7crU6,여성,1980,63.40,145,Tave1234**,5i1lvnve@naver.com,USER,NOW(),NOW()
